Deal Name,Amount,Stage,Close Date,Account Name,Owner,Probability,Currency
Acme Corp - Software License,50000,Proposal/Price Quote,2024-07-15,Acme Corporation,John Smith,75,USD
TechStart - Consulting,25000,Negotiation/Review,2024-06-30,TechStart Inc,Jane Doe,60,USD
Global Solutions - Implementation,100000,Closed Won,2024-05-20,Global Solutions Ltd,Mike Johnson,100,EUR
StartupX - Platform License,15000,Qualification,2024-08-10,StartupX,Sarah Wilson,25,USD
Enterprise Corp - Custom Development,200000,Proposal/Price Quote,2024-09-01,Enterprise Corp,David Brown,80,USD
InnovateTech - Support Contract,30000,Negotiation/Review,2024-07-05,InnovateTech,Lisa Garcia,70,GBP
MegaCorp - Integration Services,75000,Closed Won,2024-04-15,MegaCorp Industries,Tom Anderson,100,USD
SmallBiz - Basic Package,8000,Qualification,2024-08-20,SmallBiz Solutions,Emily Chen,30,USD
TechGiant - Enterprise License,500000,Negotiation/Review,2024-10-15,TechGiant Corp,Robert Taylor,85,USD
LocalCorp - Maintenance,12000,Proposal/Price Quote,2024-07-25,LocalCorp,Maria Rodriguez,65,USD
